                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2042,                 0.7932,                 1.0697,                0.83339,                0.86297,                0.88804,                0.52407,                 1.4173,                 0.8515,                  1.146,             0.00036307,             0.00036307,             0.00036307
                     36,                 1.1916,                0.78338,                  1.075,                 0.8486,                0.86934,                0.89127,                0.51644,                 1.4121,                0.86707,                 1.1419,             0.00034108,             0.00034108,             0.00034108
                     37,                 1.1944,                0.78156,                 1.0653,                0.86158,                0.80369,                0.86651,                0.53072,                 1.3902,                0.84463,                 1.1348,             0.00031908,             0.00031908,             0.00031908
                     38,                 1.1934,                0.78295,                 1.0711,                0.84015,                0.79077,                0.85759,                0.53425,                 1.3912,                0.87622,                 1.1378,             0.00029708,             0.00029708,             0.00029708
                     39,                 1.1674,                0.76484,                 1.0615,                0.82139,                0.85135,                0.87014,                0.52826,                  1.382,                0.82737,                 1.1335,             0.00027508,             0.00027508,             0.00027508
                     40,                 1.1695,                0.76283,                 1.0557,                0.83588,                0.84358,                 0.8696,                0.52197,                 1.4033,                0.83104,                 1.1359,             0.00025309,             0.00025309,             0.00025309
                     41,                 1.1124,                0.68743,                 1.0553,                0.83317,                0.84179,                0.87011,                0.53826,                 1.3988,                0.86003,                 1.1435,             0.00023109,             0.00023109,             0.00023109
                     42,                 1.0828,                0.64621,                 1.0336,                0.82731,                0.84064,                0.85824,                0.52379,                  1.406,                0.82057,                 1.1558,             0.00020909,             0.00020909,             0.00020909
                     43,                 1.0537,                0.62133,                 1.0347,                0.82955,                0.84946,                0.89347,                0.53244,                 1.4038,                  0.835,                 1.1545,             0.00018709,             0.00018709,             0.00018709
                     44,                 1.0291,                 0.6237,                 1.0209,                0.83257,                0.85542,                0.88022,                0.51874,                 1.3892,                0.81904,                 1.1461,             0.00016509,             0.00016509,             0.00016509
                     45,                 1.0328,                0.60952,                 1.0189,                0.86197,                0.84976,                0.90176,                0.52929,                 1.3866,                0.82016,                 1.1401,              0.0001431,              0.0001431,              0.0001431
                     46,                 1.0026,                0.60055,                 1.0065,                0.84654,                0.87252,                 0.8815,                0.53402,                 1.3734,                 0.8032,                 1.1383,              0.0001211,              0.0001211,              0.0001211
                     47,                0.97713,                0.59378,                0.99803,                0.85074,                0.85948,                0.88457,                0.53644,                 1.3688,                 0.8032,                   1.13,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.97475,                0.59349,                 1.0043,                0.82626,                0.87598,                 0.8862,                0.53267,                 1.3686,                0.81105,                 1.1337,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.96614,                0.58296,                 1.0094,                0.83813,                0.87317,                0.87336,                0.53513,                 1.3692,                0.80914,                 1.1344,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.96763,                0.57438,                 0.9986,                0.84111,                0.87031,                0.88101,                0.53714,                 1.3656,                 0.8071,                  1.138,             3.3108e-05,             3.3108e-05,             3.3108e-05
